from,to,time,cascade_id
222,791,0,2
575,222,1,2
611,575,2,2
85,220,0,3
158,85,1,3
1102,158,2,3
62,1045,0,5
983,1045,0,5
1027,1045,0,5
24,983,1,5
24,62,1,5
311,62,1,5
655,62,1,5
24,1027,1,5
311,1027,1,5
655,1027,1,5
862,311,2,5
862,24,2,5
640,24,2,5
874,24,2,5
862,655,2,5
640,655,2,5
874,655,2,5
108,655,2,5
820,655,2,5
89,640,3,5
411,640,3,5
89,108,3,5
411,108,3,5
89,874,3,5
411,874,3,5
37,874,3,5
494,874,3,5
580,874,3,5
89,820,3,5
411,820,3,5
37,820,3,5
494,820,3,5
580,820,3,5
162,820,3,5
511,820,3,5
89,862,3,5
411,862,3,5
37,862,3,5
494,862,3,5
580,862,3,5
162,862,3,5
511,862,3,5
101,862,3,5
213,862,3,5
769,511,4,5
769,580,4,5
154,580,4,5
838,580,4,5
769,89,4,5
154,89,4,5
838,89,4,5
289,89,4,5
1005,89,4,5
769,411,4,5
154,411,4,5
838,411,4,5
289,411,4,5
1005,411,4,5
596,411,4,5
780,411,4,5
769,494,4,5
154,494,4,5
838,494,4,5
289,494,4,5
1005,494,4,5
596,494,4,5
780,494,4,5
782,494,4,5
1006,494,4,5
769,162,4,5
154,162,4,5
838,162,4,5
289,162,4,5
1005,162,4,5
596,162,4,5
780,162,4,5
782,162,4,5
1006,162,4,5
717,162,4,5
769,37,4,5
154,37,4,5
838,37,4,5
289,37,4,5
1005,37,4,5
596,37,4,5
780,37,4,5
782,37,4,5
1006,37,4,5
717,37,4,5
121,37,4,5
132,37,4,5
926,37,4,5
769,101,4,5
154,101,4,5
838,101,4,5
289,101,4,5
1005,101,4,5
596,101,4,5
780,101,4,5
782,101,4,5
1006,101,4,5
717,101,4,5
121,101,4,5
132,101,4,5
926,101,4,5
371,101,4,5
769,213,4,5
154,213,4,5
838,213,4,5
289,213,4,5
1005,213,4,5
596,213,4,5
780,213,4,5
782,213,4,5
1006,213,4,5
717,213,4,5
121,213,4,5
132,213,4,5
926,213,4,5
371,213,4,5
604,289,5,5
604,717,5,5
192,717,5,5
604,926,5,5
192,926,5,5
604,782,5,5
192,782,5,5
604,596,5,5
192,596,5,5
696,596,5,5
604,371,5,5
192,371,5,5
696,371,5,5
557,371,5,5
574,371,5,5
604,769,5,5
192,769,5,5
696,769,5,5
557,769,5,5
574,769,5,5
1035,769,5,5
604,121,5,5
192,121,5,5
696,121,5,5
557,121,5,5
574,121,5,5
1035,121,5,5
604,132,5,5
192,132,5,5
696,132,5,5
557,132,5,5
574,132,5,5
1035,132,5,5
604,154,5,5
192,154,5,5
696,154,5,5
557,154,5,5
574,154,5,5
1035,154,5,5
604,838,5,5
192,838,5,5
696,838,5,5
557,838,5,5
574,838,5,5
1035,838,5,5
604,1005,5,5
192,1005,5,5
696,1005,5,5
557,1005,5,5
574,1005,5,5
1035,1005,5,5
128,1005,5,5
604,780,5,5
192,780,5,5
696,780,5,5
557,780,5,5
574,780,5,5
1035,780,5,5
128,780,5,5
604,1006,5,5
192,1006,5,5
696,1006,5,5
557,1006,5,5
574,1006,5,5
1035,1006,5,5
128,1006,5,5
1058,1006,5,5
409,1035,6,5
409,604,6,5
441,604,6,5
