from,to,sent_diff,created_at
user_3,user_1,3,2015-05-12T12:51:10Z
user_10,user_1,3,2015-05-20T09:14:41Z
user_48,user_1,-1,2015-05-15T14:58:35Z
user_107,user_1,-2,2015-05-17T17:03:06Z
user_128,user_1,1,2015-05-16T20:21:41Z
user_190,user_1,1,2015-05-21T06:55:48Z
user_200,user_1,2,2015-05-16T12:06:12Z
user_205,user_1,3,2015-05-11T18:53:10Z
user_211,user_1,4,2015-05-20T14:21:23Z
user_270,user_1,3,2015-05-16T13:20:56Z
user_305,user_1,1,2015-05-16T07:07:35Z
user_325,user_1,2,2015-05-12T20:53:49Z
user_331,user_1,3,2015-05-17T19:40:48Z
user_363,user_1,0,2015-05-06T06:57:48Z
user_376,user_1,1,2015-05-20T08:48:09Z
user_445,user_1,1,2015-05-10T00:33:30Z
user_455,user_1,4,2015-05-07T22:11:01Z
user_483,user_1,3,2015-05-18T21:00:40Z
user_538,user_1,1,2015-05-20T13:02:01Z
user_589,user_1,-2,2015-05-16T15:39:14Z
user_695,user_1,1,2015-05-11T21:29:32Z
user_700,user_1,3,2015-05-19T20:44:47Z
user_719,user_1,2,2015-05-08T10:28:18Z
user_790,user_1,4,2015-05-11T10:50:57Z
user_809,user_1,-1,2015-05-07T21:12:35Z
user_856,user_1,4,2015-05-10T11:04:34Z
user_958,user_1,3,2015-05-11T20:53:36Z
user_972,user_1,4,2015-05-19T09:14:17Z
user_1025,user_1,4,2015-05-21T06:39:01Z
user_3,user_2,2,2015-05-11T23:07:23Z
user_68,user_2,1,2015-05-14T09:07:01Z
user_101,user_2,3,2015-05-07T20:09:08Z
user_167,user_2,4,2015-05-10T16:35:28Z
user_203,user_2,2,2015-05-20T15:18:41Z
user_269,user_2,3,2015-05-12T15:10:54Z
user_311,user_2,3,2015-05-19T21:33:35Z
user_371,user_2,3,2015-05-13T08:26:21Z
user_385,user_2,4,2015-05-16T19:06:11Z
user_406,user_2,4,2015-05-18T22:39:38Z
user_409,user_2,2,2015-05-21T17:18:13Z
user_422,user_2,3,2015-05-21T12:38:47Z
user_500,user_2,2,2015-05-21T16:55:19Z
user_531,user_2,2,2015-05-11T02:21:54Z
user_543,user_2,3,2015-05-10T14:31:14Z
user_544,user_2,1,2015-05-17T03:23:38Z
user_577,user_2,4,2015-05-13T19:32:42Z
user_604,user_2,3,2015-05-13T11:32:37Z
user_633,user_2,2,2015-05-21T13:28:26Z
user_658,user_2,-1,2015-05-10T10:17:53Z
user_717,user_2,-1,2015-05-21T13:33:34Z
user_719,user_2,3,2015-05-21T21:41:13Z
user_750,user_2,4,2015-05-11T16:03:54Z
user_759,user_2,2,2015-05-14T17:49:12Z
user_790,user_2,4,2015-05-09T09:58:52Z
user_818,user_2,3,2015-05-16T20:41:23Z
user_824,user_2,2,2015-05-12T09:06:48Z
user_830,user_2,0,2015-05-06T13:29:58Z
user_851,user_2,1,2015-05-10T19:33:22Z
user_874,user_2,4,2015-05-20T21:39:48Z
user_940,user_2,2,2015-05-13T09:34:44Z
user_947,user_2,2,2015-05-11T11:36:25Z
user_1021,user_2,-3,2015-05-21T21:57:49Z
user_1061,user_2,4,2015-05-12T20:05:37Z
user_1100,user_2,3,2015-05-19T12:06:02Z
user_65,user_3,3,2015-05-13T20:59:24Z
user_100,user_3,3,2015-05-09T18:20:35Z
user_105,user_3,1,2015-05-07T18:31:45Z
user_108,user_3,1,2015-05-11T07:32:23Z
user_178,user_3,1,2015-05-06T00:00:02Z
user_233,user_3,2,2015-05-08T01:04:48Z
user_236,user_3,2,2015-05-19T21:20:11Z
user_308,user_3,3,2015-05-14T15:16:01Z
user_376,user_3,3,2015-05-09T13:01:30Z
user_391,user_3,-1,2015-05-21T12:58:12Z
user_493,user_3,3,2015-05-11T17:09:01Z
user_559,user_3,2,2015-05-13T11:13:29Z
user_600,user_3,3,2015-05-12T22:17:08Z
user_685,user_3,4,2015-05-14T20:27:36Z
user_707,user_3,1,2015-05-10T10:24:40Z
user_759,user_3,2,2015-05-09T20:12:44Z
user_827,user_3,3,2015-05-11T21:00:49Z
user_846,user_3,2,2015-05-19T20:57:25Z
user_989,user_3,3,2015-05-21T21:18:49Z
user_1042,user_3,4,2015-05-11T21:39:43Z
user_1049,user_3,-0,2015-05-10T09:47:14Z
user_1071,user_3,1,2015-05-10T22:18:28Z
user_1077,user_3,2,2015-05-19T00:05:47Z
user_1094,user_3,3,2015-05-18T12:51:25Z
user_1100,user_3,-2,2015-05-15T22:54:50Z
user_50,user_4,3,2015-05-20T07:31:40Z
user_59,user_4,3,2015-05-07T12:00:34Z
user_63,user_4,4,2015-05-19T13:14:45Z
user_75,user_4,1,2015-05-07T10:36:05Z
user_100,user_4,3,2015-05-18T16:25:18Z
user_125,user_4,-3,2015-05-10T10:07:24Z
user_135,user_4,2,2015-05-13T12:12:02Z
user_144,user_4,3,2015-05-17T17:55:07Z
user_172,user_4,0,2015-05-14T18:23:43Z
user_200,user_4,3,2015-05-21T22:55:46Z
user_220,user_4,3,2015-05-10T00:07:21Z
user_228,user_4,4,2015-05-19T11:19:21Z
user_235,user_4,2,2015-05-17T01:33:23Z
user_250,user_4,2,2015-05-18T18:10:36Z
user_252,user_4,1,2015-05-17T22:42:01Z
user_291,user_4,-1,2015-05-08T09:43:48Z
user_294,user_4,4,2015-05-14T11:12:33Z
user_303,user_4,3,2015-05-11T22:42:37Z
user_312,user_4,-1,2015-05-10T20:37:48Z
